0x95eea4,Trainee Palette,Base Palette,Second Base Palette (For Trainees),First Promotion Palette,Second Promotion Palette,Third Promotion Palette,Fourth Promotion Palette
-,0x52,0x65,0xaa,0x52,0x55,0x56,0xad
-,0x52,0x55,0x55,0xdd,0x2a,0x25,0x65
-,0xee,0xdd,0xaa,0x22,0xee,0xad,0xaa
-,0x55,0xde,0x2a,0xa5,0x55,0xde,0xaa
-,0x52,0x65,0xee,0xde,0x5a,0x65,0xee
-,0xdd,0xaa,0x55,0xde,0xaa,0x52,0x5a
-,0xdd,0x2a,0x55,0x65,0x2a,0x65,0x65
-,0x25,0xaa,0x52,0x52,0x56,0xab,0x2a
0x11e,0x52,0x55,0xbe,0x2a,0x25,0x52,0xee
0x11f,0xaa,0x22,0x55,0xee,0xde,0xaa,0x22
0x120,0xee,0xee,0xbe,0xaa,0xee,0xde,0xde
0x121,0xad,0x55,0x66,0x55,0xa2,0x56,0x25
0x122,0x25,0xba,0x55,0x52,0xa2,0xea,0x25
0x123,0xa5,0xdb,0xee,0x22,0xb2,0xee,0xee
0x124,0xa2,0xda,0xee,0xee,0xba,0xdd,0xee
0x125,0xed,0xdd,0xee,0xee,0xee,0xad,0x22
0x126,0x55,0x55,0xbe,0x2a,0x55,0x65,0xde
0x127,0x2a,0x56,0x55,0xde,0x2a,0x55,0x52
0x128,0xee,0xae,0x22,0x55,0xee,0xdd,0xab
0x129,0x52,0xee,0xee,0xbe,0x5a,0xee,0xee
0x12a,0xee,0xad,0x52,0x65,0x56,0x22,0x55
0x12b,0x56,0x55,0xa5,0x55,0x55,0x56,0xa5
0x12c,0x65,0x25,0x55,0xb2,0x55,0x55,0x25
0x12d,0xea,0x55,0xa2,0xaa,0xeb,0x25,0xba
0x12e,0xdd,0xee,0xa2,0xde,0xee,0xde,0x65
0x12f,0x55,0x12,0xcb,0x78,0x26,0xcf,0xbc
0x130,0x68,0xf2,0xc1,0xcc,0x57,0x22,0xcc
0x131,0xbc,0x86,0x12,0xd1,0xba,0x28,0xbf
0x132,0x1a,0xbc,0xf2,0xbb,0xbb,0xca,0xf2
0x133,0xba,0xab,0xbb,0xbc,0x2c,0x68,0x64
0x134,0xcb,0x2c,0x86,0x87,0xcc,0x2c,0x62
0x135,0x88,0xcb,0xcc,0x82,0x88,0xab,0xbd
0x136,0x22,0x55,0xcb,0xad,0x2b,0x86,0xac
0x137,0xbb,0x21,0x78,0xbb,0x1a,0x2b,0x52
0x138,0x78,0x85,0x22,0x82,0x38,0x22,0x11
0x139,0x21,0x24,0x12,0xaa,0xdd,0x28,0xf1
0x13a,0xcc,0x1c,0x12,0x1c,0xaf,0xb1,0xc2
0x13b,0xac,0xad,0xcc,0xa2,0xaa,0xcc,0xcc
0x13c,0xb2,0xcc,0xab,0xbb,0x35,0x64,0x85
0x13d,0x88,0x22,0x22,0x22,0x86,0x21,0x12
0x13e,0x21,0x22,0xb1,0xc9,0xf9,0xf2,0xca
0x13f,0xfb,0x92,0x9b,0x1c,0xcf,0xcc,0xac
0x140,0x11,0xcc,0xac,0xaa,0x9a,0x9b,0xaa
0x141,0xcc,0x78,0x64,0x35,0x26,0x58,0x63
0x142,0x28,0x12,0x22,0x22,0x22,0xc1,0x2f
0x143,0x11,0x12,0x9b,0xb9,0xa9,0xbf,0xa9
0x144,0xac,0xcc,0xfc,0xcc,0xca,0x9c,0x1a
0x145,0x9f,0xbc,0xa9,0xb9,0xa1,0x22,0x42
0x146,0x53,0x48,0xda,0x22,0x62,0x68,0xcc
0x147,0xda,0x22,0x52,0xcb,0xc1,0x1a,0x22
0x148,0x1b,0xba,0xc1,0x21,0xcc,0xd1,0x2f
0x149,0x21,0xcb,0xcc,0xda,0x22,0xbb,0x1a
0x14a,0xcc,0x2b,0xff,0x62,0x68,0x64,0xba
0x14b,0x22,0x86,0x87,0x1b,0x22,0x85,0x88
0x14c,0xbc,0x2f,0x48,0x87,0xbc,0x21,0x87
0x14d,0x56,0xbc,0x21,0x88,0x86,0xbc,0x2f
0x14e,0x68,0x76,0xfb,0x2e,0x74,0x87,0x99
0x14f,0x99,0x39,0x73,0x95,0x79,0xff,0x6e
0x150,0xff,0xff,0xdb,0xed,0xac,0xa4,0xcc
0x151,0xed,0x4a,0xba,0xdc,0xed,0xab,0xda
0x152,0xdd,0xed,0xdd,0xad,0xdd,0xed,0xa4
0x153,0xcb,0xcc,0xed,0x33,0x39,0x3e,0x77
0x154,0xfe,0xff,0xee,0xde,0xff,0xaf,0xee
0x155,0xeb,0xee,0xbf,0xe4,0xee,0xee,0xa4
0x156,0xbb,0xee,0xad,0x4f,0xab,0xdb,0x4e
0x157,0xaf,0x4a,0xdb,0xfe,0xda,0xb4,0xde
0x158,0x73,0x11,0xac,0xac,0x33,0x17,0xaa
0x159,0x4a,0x63,0x17,0xab,0x4b,0x69,0x17
0x15a,0x4b,0xab,0x69,0x11,0xad,0xcb,0x79
0x15b,0x11,0xdd,0xcc,0x17,0xd1,0xdd,0x1c
0x15c,0x16,0xd1,0xff,0xdd,0x44,0xba,0x1c
0x15d,0x33,0xa4,0x44,0x1a,0x96,0xbb,0xba
0x15e,0x14,0x97,0xbc,0xbb,0x1b,0x67,0xdc
0x15f,0xdd,0x1d,0x5f,0xcc,0xd1,0xfd,0x71
0x160,0x1d,0x11,0xff,0x51,0x1d,0xf1,0xf6
0x161,0x61,0x77,0x76,0x76,0x76,0x77,0x67
0x162,0x66,0x77,0x76,0x66,0x64,0x77,0x77
0x163,0x76,0x67,0x56,0x76,0x47,0x76,0x77
0x164,0x67,0x67,0x65,0x76,0x67,0x77,0x66
0x165,0x75,0x65,0x55,0x64,0x76,0xfb,0xfd
0x166,0x68,0x55,0xba,0xd1,0x6f,0x56,0xcc
0x167,0xd1,0x82,0x67,0xac,0xeb,0x82,0x66
0x168,0xbb,0xec,0xf2,0x68,0xca,0x1b,0x2d
0x169,0x8f,0xcb,0xab,0x1e,0xf2,0xac,0xba
0x16a,0xf1,0x2f,0x67,0x66,0xf6,0xbf,0x66
0x16b,0xf6,0xdf,0xab,0xf7,0xde,0xed,0xbc
0x16c,0x2f,0x1d,0xab,0xcb,0xf7,0xe2,0xb1
0x16d,0xac,0x76,0x22,0xce,0xba,0x78,0xf7
0x16e,0xb1,0xac,0x68,0x77,0xef,0xbb,0x2b
0x16f,0x88,0x66,0x67,0x2c,0x8f,0x77,0x56
0x170,0x1c,0x72,0x77,0x66,0xac,0x72,0x78
0x171,0x56,0xbb,0x21,0x7f,0x66,0xca,0x1b
0x172,0x78,0x55,0xcb,0x21,0x8f,0x55,0xca
0x173,0xfb,0x88,0x56,0x46,0x86,0xe8,0xff
0x174,0x54,0x86,0xf2,0xab,0x65,0x25,0xef
0x175,0xb1,0x55,0xf6,0xfe,0xcb,0x65,0x26
0x176,0x1d,0xcb,0x56,0x26,0x1d,0xcb,0x65
0x177,0xf6,0xfe,0xcb,0x66,0x87,0xef,0xbf
0x178,0xab,0xcc,0xcc,0xbc,0xbc,0xbc,0xba
0x179,0xac,0xbc,0xcb,0xba,0x1b,0xcb,0xbc
0x17a,0xbb,0xda,0xba,0xbc,0xaa,0xd1,0xba
0x17b,0xab,0xde,0xfd,0xbc,0xea,0xdf,0x2f
0x17c,0xbc,0xfe,0xf2,0xf2,0xcb,0xaa,0x1a
0x17d,0xec,0x1a,0xed,0xfe,0xfe,0xe1,0xdd
0x17e,0x2f,0x22,0xfe,0xfe,0x22,0xf2,0x2f
0x17f,0x2f,0x8f,0x88,0x22,0xf2,0x88,0x77
0x180,0x22,0x8f,0x87,0x77,0x88,0x88,0x68
0x181,0x66,0x1f,0xba,0xbc,0xba,0xf2,0xdd
0x182,0xba,0xcb,0x22,0xfd,0xa2,0xba,0xff
0x183,0x22,0x12,0xa1,0x88,0xf8,0x22,0xed
0x184,0x75,0x87,0xf8,0x22,0x77,0x75,0x88
0x185,0xf8,0x66,0x66,0x77,0x88,0xbc,0xcc
0x186,0xbb,0xab,0xac,0xbc,0xbc,0xbc,0xab
0x187,0xcc,0xab,0xcc,0xba,0xbc,0xac,0xbc
0x188,0xa1,0xab,0xbb,0xcc,0x11,0xba,0xcc
0x189,0xba,0xd2,0xba,0xbc,0xca,0xef,0xa1
0x18a,0xba,0xbb,0xb1,0xcb,0xba,0xbc,0x1c
0x18b,0xb1,0xba,0xbc,0xee,0xdc,0xdc,0xf1
0x18c,0xfd,0xdd,0xdd,0xed,0x2f,0xf2,0xfe
0x18d,0xf2,0x88,0xf8,0x22,0x8f,0x86,0x88
0x18e,0x88,0x88,0x66,0x86,0x68,0x88,0xba
0x18f,0xcb,0xba,0xf1,0xcb,0x11,0xdd,0x2d
0x190,0xf1,0xdd,0xfd,0x22,0xed,0xfe,0xef
0x191,0xf2,0x22,0x2f,0x22,0x8f,0xff,0x88
0x192,0x88,0x88,0x88,0x78,0x87,0x88,0x78
0x193,0x67,0x77,0x77,0x78,0x64,0x87,0x88
0x194,0x88,0x77,0x76,0x77,0x88,0x88,0x67
0x195,0x65,0x77,0x77,0x65,0x88,0x66,0x65
0x196,0x88,0x88,0x77,0x86,0x78,0x78,0x88
0x197,0x76,0x78,0x77,0x78,0x64,0x84,0x88
0x198,0x88,0x88,0x88,0x48,0x78,0x77,0x77
0x199,0x67,0x87,0x87,0x87,0x85,0x55,0x65
0x19a,0x65,0x88,0x87,0x88,0x67,0x65,0x87
0x19b,0x88,0x67,0x88,0x87,0x77,0x77,0x87
0x19c,0x88,0x64,0x76,0x78,0x88,0x88,0x78
0x19d,0x75,0x88,0x88,0x87,0x88,0x88,0x88
0x19e,0x87,0x88,0x76,0x67,0x56,0x88,0x87
0x19f,0x88,0x88,0x67,0x88,0x88,0x88,0x87
0x1a0,0x87,0x68,0x77,0x87,0x77,0x77,0x88
0x1a1,0x88,0x76,0x86,0x88,0x88,0x88,0x78
0x1a2,0x88,0x88,0x88,0x68,0x88,0x88,0x88
0x1a3,0x77,0x88,0x88,0x57,0x76,0x76,0x88
0x1a4,0x88,0x88,0x58,0x87,0x88,0x88,0x88
0x1a5,0x68,0x88,0x88,0x88,0x78,0xad,0x52
0x1a6,0x55,0x65,0xaa,0x22,0x55,0x52,0xad
0x1a7,0x5a,0x52,0x25,0xdd,0x2a,0x55,0x66
0x1a8,0xad,0xa5,0x5a,0x62,0x2a,0x55,0x2a
0x1a9,0x55,0xad,0x4a,0x2a,0x52,0xdd,0xad
0x1aa,0xad,0x22,0xad,0x22,0x55,0x65,0x2a
0x1ab,0x55,0x55,0x55,0x6a,0x65,0x62,0x55
0x1ac,0x2a,0x22,0x55,0x66,0xaa,0x52,0x2a
0x1ad,0x65,0xde,0xaa,0x25,0x55,0xee,0xad
0x1ae,0xaa,0x52,0xee,0xde,0xad,0xaa,0x2a
0x1af,0x55,0x56,0x56,0x5a,0x56,0x25,0x55
0x1b0,0x2a,0x55,0x65,0x55,0xab,0x22,0x55
0x1b1,0xa2,0xde,0xaa,0x2a,0xa2,0xee,0xdd
0x1b2,0xab,0xba,0xee,0xee,0xde,0xed,0xee
0x1b3,0xdd,0xee,0xee,0x55,0x66,0x55,0xa5
0x1b4,0x52,0x55,0x55,0xa2,0x25,0x55,0x22
0x1b5,0xba,0x2a,0xa2,0xaa,0xdb,0xaa,0xba
0x1b6,0xdd,0xed,0xdd,0xdd,0xee,0xee,0xee
0x1b7,0xee,0xed,0xed,0xed,0xee,0xee,0xee
0x1b8,0xee,0xee,0xee,0xee,0xee,0xee,0xee
0x1b9,0xba,0xee,0xde,0xab,0xa2,0xee,0xde
0x1ba,0x2a,0x25,0xee,0xab,0x52,0x56,0xbe
0x1bb,0x2a,0x65,0x65,0xaa,0x22,0x65,0x65
0x1bc,0x2a,0x55,0x56,0x56,0x5a,0x65,0x56
0x1bd,0x56,0x6a,0x65,0x65,0x65,0x22,0x55
0x1be,0x55,0x52,0x5a,0x52,0x56,0x22,0x2d
0x1bf,0x56,0x25,0x25,0xad,0x52,0x52,0xa2
0x1c0,0xbd,0xaa,0x22,0xba,0xdd,0xdd,0xab
0x1c1,0xda,0x25,0xac,0xab,0xbc,0x26,0xad
0x1c2,0xbc,0xcc,0x26,0xc1,0xab,0xbc,0x65
0x1c3,0xf2,0x1b,0xbc,0x57,0x26,0xff,0xcb
0x1c4,0x87,0x26,0xd2,0xcb,0x87,0x57,0xd2
0x1c5,0xbb,0x88,0x64,0x22,0xbb,0xcb,0x1a
0x1c6,0x2a,0x82,0xcc,0xcb,0xcf,0x82,0xcb
0x1c7,0xba,0xfc,0x68,0xcb,0xba,0x2f,0x85
0x1c8,0xbc,0xbb,0x82,0x86,0xbc,0xbb,0x82
0x1c9,0x78,0xbb,0x2b,0x68,0x77,0xbb,0x2b
0x1ca,0x88,0x88,0x22,0x68,0x78,0x87,0xe1
0x1cb,0x22,0x48,0x76,0xee,0x1e,0x22,0x82
0x1cc,0xef,0xef,0xef,0x21,0x2d,0x12,0xef
0x1cd,0x22,0xfc,0x2f,0x1f,0x1f,0xca,0xdd
0x1ce,0x2f,0xff,0xca,0xca,0xfd,0xdd,0x87
0x1cf,0x77,0x87,0x68,0x77,0x87,0x88,0x58
0x1d0,0x88,0x88,0x48,0x86,0x68,0x65,0x65
0x1d1,0x88,0x82,0x64,0x77,0x88,0x22,0x6f
0x1d2,0x87,0x88,0xef,0x2e,0x88,0x88,0xe1
0x1d3,0x22,0x8f,0x86,0x23,0x8b,0x64,0x64
0x1d4,0xb4,0x2b,0x43,0x87,0x43,0x22,0x44
0x1d5,0x88,0x55,0x43,0xb5,0x83,0x76,0x88
0x1d6,0xb2,0x52,0x87,0x44,0x1b,0x42,0x76
0x1d7,0x35,0x22,0x45,0x66,0x46,0x33,0x84
0x1d8,0x65,0x35,0x82,0x88,0x78,0xe8,0x2b
0x1d9,0x83,0x48,0xb5,0x2b,0x44,0x47,0x24
0x1da,0x22,0x54,0x46,0x43,0x43,0x85,0x55
0x1db,0x42,0x44,0x86,0x57,0x54,0x88,0x58
0x1dc,0x87,0x77,0x87,0x68,0xea,0x22,0x86
0x1dd,0x88,0xfb,0x82,0x78,0x77,0xfb,0x82
0x1de,0x67,0x65,0x1a,0x62,0x65,0x88,0x1b
0x1df,0x62,0x88,0x88,0x1e,0x42,0x78,0x78
0x1e0,0x2f,0x82,0x78,0x77,0x22,0x68,0x84
0x1e1,0x88,0x4d,0xaa,0xcc,0xee,0xac,0xbb
0x1e2,0xcb,0xee,0xdd,0xba,0xdc,0xee,0xac
0x1e3,0xbb,0xdc,0xed,0xff,0xff,0xdb,0xdd
0x1e4,0x97,0xf7,0xcf,0xee,0x93,0x39,0xff
0x1e5,0xef,0x99,0x33,0x79,0x63,0xee,0xaf
0x1e6,0x4a,0xda,0xae,0xe4,0xb4,0xd4,0xee
0x1e7,0xaf,0xbf,0xde,0xee,0xff,0xb4,0xdb
0x1e8,0xee,0xae,0x4e,0xdd,0xee,0xaa,0xd4
0x1e9,0xdd,0xee,0x4e,0xaa,0xdd,0x36,0xff
0x1ea,0xda,0x3d,0x16,0xdd,0xf6,0x1d,0x17
0x1eb,0x11,0xdf,0xab,0x13,0x11,0xaf,0x14
0x1ec,0xf3,0xaa,0xf4,0xb4,0xef,0xbf,0xf4
0x1ed,0x4b,0xef,0xae,0xa4,0xae,0xe1,0xbe
0x1ee,0xba,0xa4,0x11,0x11,0xed,0xee,0xa1
0x1ef,0x11,0x17,0x3e,0xba,0x1a,0x1b,0x6f
0x1f0,0xa1,0x1b,0xff,0x3a,0x1f,0x14,0xfb
0x1f1,0x3f,0x4a,0x4b,0xa4,0x7a,0xa4,0xb4
0x1f2,0xae,0x74,0xab,0xeb,0xd1,0xda,0x11
0x1f3,0x11,0xd1,0xdd,0x67,0x76,0x76,0x77
0x1f4,0x56,0x67,0x57,0x66,0x67,0x46,0x57
0x1f5,0x65,0x67,0x76,0x77,0x65,0x57,0x55
0x1f6,0x54,0x76,0x65,0x77,0x56,0x76,0x75
0x1f7,0x57,0x77,0x76,0x65,0x56,0x76,0x76
0x1f8,0xcb,0xeb,0xe1,0x2e,0xba,0x1a,0xde
0x1f9,0x2f,0xbb,0xd1,0x1e,0xf2,0xab,0xd1
0x1fa,0xf2,0x88,0x1a,0xee,0x8f,0x78,0xd1
0x1fb,0x2e,0x88,0x66,0xbb,0xf2,0x68,0x76
0x1fc,0x2f,0x8f,0x68,0x57,0x8f,0x66,0xd2
0x1fd,0xcb,0x8f,0x76,0xe2,0xcc,0x68,0xf6
0x1fe,0xaf,0xbb,0x66,0x2f,0xae,0xcb,0x65
0x1ff,0x2f,0xbd,0xbe,0x76,0xf7,0x2f,0xe2
