INLINE ItemTable,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit/Def,Wt,Crit/Res,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Nothing,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x0,0,NoRank,0x0,0x0,NoEffect,0,0x0,0x0,0x0
Iron Sword,IronSwordName,0x404,0x0,0x1,Sword,IsWeapon,0x0,0x0,40,6,100,5,0,0x11,10,ERank,IronSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Sword,SteelSwordName,0x405,0x0,0x2,Sword,IsWeapon,0x0,0x0,30,10,90,8,0,0x11,20,DRank,SteelSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Sword,SilverSwordName,0x406,0x0,0x3,Sword,IsWeapon,0x0,0x0,20,14,80,11,0,0x11,65,BRank,SilverSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Brave Sword,BraveSwordName,BraveDesc,0x0,0x4,Sword,IsWeapon|IsBrave,0x0,0x0,30,10,90,13,0,0x11,125,ARank,BraveSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Killing Edge,KillingEdgeName,KillerDesc,0x0,0x5,Sword,IsWeapon,0x0,0x0,20,9,85,8,20,0x11,65,CRank,KillingEdgeIcon,0x0,NoEffect,1,0x0,0x0,CritUpID
Magebane,0x359,0x409,0x0,0x6,Sword,IsWeapon,0x0,0x0,20,7,90,6,0,0x11,1,DRank,0x5,0x0,NoEffect,1,0x0,0x0,0x0
Light Brand,0x35a,0x40a,0x0,0x7,Sword,IsWeapon|MagicDamage,0x0,0x0,25,4,85,5,0,0x12,1,DRank,0x6,0x0,NoEffect,1,0x0,0x0,0x0
Shadowblade,0x35b,0x40b,0x0,0x8,Sword,IsWeapon|MagicDamage,0x0,0x0,25,7,80,7,0,0x12,1,CRank,0x7,0x0,NoEffect,1,0x0,0x0,0x0
Lancereaver,Lancereaver,0x40c,0x0,0x9,Sword,IsWeapon|ReverseTriangle,0x0,0x0,25,10,75,10,0,0x11,1,CRank,0x8,0x0,NoEffect,1,0x0,0x0,0x0
Shamshir,0x403,0x4ab,0x0,0xa,Sword,IsWeapon|SwordmasterLock,0x0,0x0,25,12,100,7,0,0x11,1,BRank,0x9,0x0,NoEffect,1,0x0,0x0,0x0
Iron Blade,IronBladeName,BladeDesc,0x0,0xb,Sword,IsWeapon,0x0,0x0,35,9,80,10,0,0x11,15,ERank,IronBladeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Blade,SteelBladeName,BladeDesc,0x0,0xc,Sword,IsWeapon,0x0,0x0,25,13,70,12,0,0x11,30,DRank,SteelBladeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Blade,SilverBladeName,BladeDesc,0x0,0xd,Sword,IsWeapon,0x0,0x0,15,17,60,14,0,0x11,90,BRank,SilverBladeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Longsword,LongswordName,HorseEffectiveDesc,0x0,0xe,Sword,IsWeapon,0x0,0x0,20,9,90,7,0,0x11,40,DRank,LongswordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Armorslayer,ArmorSlayerName,ArmorEffectiveDesc,0x0,0xf,Sword,IsWeapon,0x0,0x0,20,9,90,7,0,0x11,40,DRank,ArmorslayerIcon,0x0,NoEffect,1,0x0,0x0,0x0
Astra Sword,0x362,0x412,0x0,0x10,Sword,IsWeapon,0x0,0x0,40,5,110,11,0,0x11,1,ARank,0xf,0x0,NoEffect,1,0x0,0x0,0x0
Luna Sword,0x363,0x413,0x0,0x11,Sword,IsWeapon,0x0,0x0,20,10,90,8,0,0x11,1,BRank,0x10,0x0,NoEffect,1,0x0,0x0,0x0
Knight sword,0x364,0x414,0x0,0x12,Sword,IsWeapon,0x0,0x0,30,0,0,0,0,0x11,1,CRank,0x11,0x0,NoEffect,1,0x0,0x0,0x0
Man Sword,0x365,0x415,0x0,0x13,Sword,IsWeapon,0x0,0x0,40,0,0,0,0,0x11,1,ERank,0x12,0x0,NoEffect,1,0x0,0x0,0x0
Rapier,RapierName,RapierDesc,0x0,0x14,Sword,IsWeapon,0x0,0x0,25,6,105,5,0,0x11,50,CRank,RapierIcon,0x0,NoEffect,1,0x0,0x0,0x0
Swiftblade,SwiftbladeName,SwiftbladeDesc,0x0,0x15,Sword,IsWeapon,0x0,0x0,25,5,90,6,0,0x11,40,DRank,0x0,0x0,NoEffect,1,0x0,0x0,DesperationID
Free,0x36b,0x41b,0x0,0x16,Sword,IsWeapon,0x0,0x0,1,0,0,0,0,0x11,0,DRank,0x15,0x0,NoEffect,1,0x0,0x0,0x0
Iron Lance,IronLanceName,0x404,0x0,0x17,Lance,IsWeapon,0x0,0x0,40,8,90,7,0,0x11,10,ERank,IronLanceIcon,0x0,NoEffect,1,0x0,0x0,ChargeID
Steel Lance,SteelLanceName,0x404,0x0,0x18,Lance,IsWeapon,0x0,0x0,30,12,80,10,0,0x11,20,DRank,SteelLanceIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Lance,SilverLanceName,0x404,0x0,0x19,Lance,IsWeapon,0x0,0x0,20,16,70,13,0,0x11,65,BRank,SilverLanceIcon,0x0,NoEffect,1,0x0,0x0,0x0
Brave Lance,BraveLanceName,BraveDesc,0x0,0x1a,Lance,IsWeapon|IsBrave,0x0,0x0,30,12,80,15,0,0x11,125,ARank,BraveLanceIcon,0x0,NoEffect,1,0x0,0x0,0x0
Killer Lance,KillerLanceName,KillerDesc,0x0,0x1b,Lance,IsWeapon,0x0,0x0,20,11,75,10,20,0x11,65,CRank,KillerLanceIcon,0x0,NoEffect,1,0x0,0x0,CritUpID
Javelin,JavelinName,0x421,0x0,0x1c,Lance,IsWeapon,0x0,0x0,20,5,75,9,0,0x12,25,DRank,JavelinIcon,0x0,NoEffect,1,0x0,0x0,0x0
Spear,SpearName,0x422,0x0,0x1d,Lance,IsWeapon,0x0,0x0,20,9,65,12,0,0x12,55,BRank,SpearIcon,0x0,NoEffect,1,0x0,0x0,0x0
Greatlance,GreatlanceName,GreatlanceDesc,0x0,0x1e,Lance,IsWeapon,0x0,0x0,15,8,110,8,0,0x11,40,DRank,GreatlanceIcon,0x0,NoEffect,1,0x0,0x0,ChargeID
Knight Greatlance,0x37a,0x42a,0x0,0x1f,Lance,IsWeapon,0x0,0x0,15,12,100,11,0,0x11,90,BRank,KnightGreatlance,0x0,NoEffect,1,0x0,0x0,0x0
Axereaver,AxereaverName,ReaverDesc,0x0,0x20,Lance,IsWeapon|ReverseTriangle,0x0,0x0,1,0,0,0,0,0x11,0,CRank,0x1f,0x0,NoEffect,1,0x0,0x0,0x0
Partisan,0x37c,0x42c,0x0,0x21,Lance,IsWeapon,0x0,0x0,1,0,0,0,0,0x11,0,CRank,0x20,0x0,NoEffect,1,0x0,0x0,0x0
Flagpole,0x37d,0x42d,0x0,0x22,Lance,IsWeapon,0x0,0x0,20,3,90,6,0,0x11,20,DRank,0x21,0x0,NoEffect,1,0x0,0x0,CharmID
Iron Axe,IronAxeName,0x404,0x0,0x23,Axe,IsWeapon,0x0,0x0,40,10,80,10,0,0x11,10,ERank,IronAxeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Axe,SteelAxeName,0x404,0x0,0x24,Axe,IsWeapon,0x0,0x0,30,14,70,13,0,0x11,20,DRank,SteelAxeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Axe,SilverAxeName,0x404,0x0,0x25,Axe,IsWeapon,0x0,HorseEffectiveness|IsPointer,20,18,60,16,0,0x11,65,BRank,SilverAxeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Brave Axe,BraveAxeName,BraveDesc,0x0,0x26,Axe,IsWeapon|IsBrave,0x0,ArmorEffectiveness|IsPointer,30,14,70,18,0,0x11,125,ARank,BraveAxeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Killer Axe,KillerAxeName,KillerDesc,0x0,0x27,Axe,IsWeapon,0x0,0x0,20,13,75,13,20,0x11,65,CRank,KillerAxeIcon,0x0,NoEffect,1,0x0,0x0,CritUpID
Hand Axe,HandAxeName,0x433,0x0,0x28,Axe,IsWeapon,0x0,0x0,20,6,65,12,0,0x12,25,DRank,HandaxeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Tomahawk,TomahawkName,0x434,0x0,0x29,Axe,IsWeapon,0x0,0x0,20,10,55,15,0,0x12,55,BRank,TomahawkIcon,0x0,NoEffect,1,0x0,0x0,0x0
Hammer,HammerName,ArmorEffectiveDesc,0x0,0x2a,Axe,IsWeapon,0x0,ArmorEffectiveness|IsPointer,20,9,75,13,0,0x11,40,DRank,HammerIcon,0x0,NoEffect,1,0x0,0x0,0x0
Halberd,HalberdName,HorseEffectiveDesc,0x0,0x2b,Axe,IsWeapon,0x0,HorseEffectiveness|IsPointer,20,9,75,13,0,0x11,40,DRank,HalberdIcon,0x0,NoEffect,1,0x0,0x0,0x0
Swordreaver,SwordreaverName,ReaverDesc,0x0,0x2c,Axe,IsWeapon|ReverseTriangle,0x0,0x0,1,0,0,0,0,0x11,0,CRank,0xb9,0x0,NoEffect,1,0x0,0x0,0x0
Swordslayer,SwordslayerName,SwordslayerDesc,0x0,0x2d,Axe,IsWeapon|ReverseTriangle,0x0,SwordEffectiveness|IsPointer,1,0,0,0,0,0x11,0,DRank,0x2b,0x0,NoEffect,1,0x0,0x0,0x0
Iron Bow,IronBowName,0x404,0x0,0x2e,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,40,7,85,5,0,0x22,10,ERank,IronBowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Bow,SteelBowName,0x404,0x0,0x2f,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,30,11,75,8,0,0x22,20,DRank,SteelBowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Bow,SilverBowName,0x404,0x0,0x30,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,15,65,11,0,0x22,65,BRank,SilverBowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Brave Bow,BraveBowName,BraveDesc,0x0,0x31,Bow,IsWeapon|IsBrave,0x0,FlierEffectiveness|IsPointer,30,11,90,13,0,0x22,125,ARank,BraveBowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Killer Bow,KillerBowName,KillerDesc,0x0,0x32,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,12,85,8,20,0x22,65,CRank,KillerBowIcon,0x0,NoEffect,1,0x0,0x0,CritUpID
Longbow,LongBowName,0x441,0x0,0x33,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,25,11,80,14,0,0x23,35,CRank,LongbowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Greatbow,GreatBowName,0x442,0x0,0x34,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,25,13,80,16,0,0x23,45,ARank,GreatbowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Ballista,0x393,0x443,0x0,0x35,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,5,12,70,30,0,0x3A,0,ERank,0x33,0x0,NoEffect,4,0x0,0x0,0x0
Iron Ballista,0x394,0x444,0x0,0x36,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,5,16,70,30,0,0x3A,0,ERank,0x34,0x0,NoEffect,4,0x0,0x0,0x0
Killer Ballista,0x395,0x445,0x0,0x37,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,5,20,70,30,0,0x3A,0,ERank,0x35,0x0,NoEffect,4,0x0,0x0,0x0
Hunting Bow,HuntingBowName,0x458,0x0,0x38,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,30,9,90,6,10,0x22,1,ERank,HuntingBowIcon,0x0,NoEffect,1,0x0,0x0,0x0
Magic Bow,0x3aa,0x459,0x0,0x39,Bow,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,10,90,7,5,0x22,1,DRank,0x37,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x3ab,0x45a,0x0,0x3a,Bow,IsMagic,0x0,0x0,30,10,85,10,0,0x12,40,CRank,0x38,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x3ad,0x45c,0x0,0x3b,Bow,IsMagic,0x0,0x0,5,12,60,20,0,0x3a,500,BRank,0x39,0x0,NoEffect,1,0x0,0x0,0x0
Fire,0x3a9,0x404,0x0,0x3c,Anima,IsWeapon|IsMagic,0x0,0x0,40,6,100,4,0,0x11,10,ERank,FireIcon,0x0,NoEffect,1,0x0,0x0,0x0
Thunder,0x3aa,0x404,0x0,0x3d,Anima,IsWeapon|IsMagic,0x0,0x0,30,10,90,7,0,0x11,20,DRank,ThunderIcon,0x0,NoEffect,1,0x0,0x0,0x0
Quake,QuakeName,0x404,0x0,0x3e,Anima,IsWeapon|IsMagic,0x0,0x0,20,14,80,10,0,0x11,65,BRank,FireIcon,0x0,NoEffect,1,0x0,0x0,0x0
Blue Bolt,BlueBoltName,0x404,0x0,0x3f,Anima,IsWeapon|IsBrave|IsMagic,0x0,0x0,30,10,85,11,0,0x11,18,ARank,BoltingIcon,0x0,NoEffect,1,0x0,0x0,0x0
Shaver,ShaverName,0x404,0x0,0x40,Anima,IsWeapon|IsMagic,0x0,FlierEffectiveness|IsPointer,30,8,90,5,0,0x11,30,CRank,ShaverIcon,0x0,NoEffect,1,0x0,0x0,0x0
Raze,RazeName,0x404,0x0,0x41,Anima,IsWeapon|IsMagic,0x0,0x0,20,5,100,0,0,0x11,100,NoRank,RazeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Frostbite,FrostbiteName,0x404,0x0,0x42,Anima,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x3a,600,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Air Shot,AirShotName,0x404,0x0,0x43,Anima,IsWeapon|IsMagic,0x0,0x0,20,6,85,6,0,0x12,400,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Far Frost,FarFrostName,0x404,0x0,0x44,Anima,IsWeapon|IsMagic,0x0,0x0,30,9,90,1,0,0x11,12,DRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Bolting,0x3ad,0x465,0x0,0x45,Anima,IsWeapon|IsMagic,0x0,0x0,25,10,80,3,0,0x11,20,CRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x466,0x0,0x46,Anima,IsMagic,0x0,0x0,30,6,100,2,0,0x11,140,ERank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x467,0x0,0x47,Anima,IsMagic,0x0,0x0,20,9,80,4,0,0x11,160,BRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x468,0x0,0x48,Anima,IsMagic,0x0,0x0,15,13,75,7,0,0x3a,800,ARank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x469,0x0,0x49,Anima,IsMagic,0x0,0x0,20,6,80,5,0,0x12,450,DRank,0x47,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x46a,0x0,0x4a,Anima,IsMagic,0x0,0x0,30,23,80,20,0,0x12,0,SRank,0xbc,0x0,NoEffect,3,0x0,0x0,0x0
Heal,0x3c2,HealDesc,0x4af,0x4b,0x4,IsStaff,0x0,0x0,30,0,100,2,0,0x11,20,ERank,0x49,0x1,NoEffect,2,0x0,0x0,0x0
Mend,0x3c3,MendDesc,0x4b0,0x4c,0x4,IsStaff,0x0,0x0,20,0,100,4,0,0x11,50,DRank,0x4a,0x2,NoEffect,3,0x0,0x0,0x0
Recover,0x3c4,RecoverDesc,0x4b1,0x4d,0x4,IsStaff,0x0,0x0,15,0,100,6,0,0x11,150,CRank,0x4b,0x3,NoEffect,3,0x0,0x0,0x0
Physic,0x3c5,PhysicDesc,0x4b2,0x4e,0x4,IsStaff,0x0,0x0,15,0,100,5,0,0x10,250,BRank,0x4c,0x4,NoEffect,3,0x0,0x0,0x0
Fortify,0x3c6,FortifyDesc,0x4b3,0x4f,0x4,IsStaff,0x0,0x0,8,0,100,7,0,0x10,1000,ARank,0x4d,0x5,NoEffect,5,0x0,0x0,0x0
Restore,0x3c7,0x476,0x4b4,0x50,0x4,IsStaff,0x0,0x0,10,0,100,4,0,0x11,200,CRank,0x4e,0x6,NoEffect,3,0x0,0x0,0x0
Silence,0x3c8,0x477,0x4b5,0x51,0x4,IsStaff,0x0,0x0,3,0,70,7,0,0x10,400,BRank,0x4f,0x7,NoEffect,5,0x0,"ItemStatus(SilenceStatusID,5)",0x0
Sleep,0x3c9,0x478,0x4b6,0x52,0x4,IsStaff,0x0,0x0,3,0,65,8,0,0x10,500,BRank,0x50,0x8,NoEffect,5,0x0,"ItemStatus(SleepStatusID,5)",0x0
Berserk,0x3ca,0x479,0x4b7,0x53,0x4,IsStaff,0x0,0x0,3,0,60,8,0,0x10,600,BRank,0x51,0x9,NoEffect,5,0x0,"ItemStatus(BerserkStatusID,5)",0x0
Warp,0x3cb,0x47a,0x4b8,0x54,0x4,IsStaff,0x0,0x0,5,0,100,5,0,0x11,1500,ARank,0x52,0xa,NoEffect,7,0x0,0x0,0x0
Rescue,0x3cc,0x47b,0x4b9,0x55,0x4,IsStaff,0x0,0x0,3,0,100,6,0,0x10,600,BRank,0x53,0xb,NoEffect,7,0x0,0x0,0x0
Torch,0x3cd,0x47c,0x4ba,0x56,0x4,IsStaff,0x0,0x0,10,0,100,5,0,0x10,100,DRank,0x54,0xc,NoEffect,5,0x0,0x0,0x0
Hammerne,0x3ce,0x47d,0x4bb,0x57,0x4,IsStaff|CannotRepair,0x0,0x0,3,0,100,7,0,0x11,600,CRank,0x55,0xd,NoEffect,8,0x0,0x0,0x0
Unlock,0x3cf,0x47e,0x4bc,0x58,0x4,IsStaff,0x0,0x0,10,0,100,7,0,0x12,150,DRank,0x56,0xe,NoEffect,5,0x0,0x0,0x0
Barrier,0x3d0,0x47f,0x4bd,0x59,0x4,IsStaff,0x0,0x0,15,0,100,4,0,0x11,150,CRank,0x57,0xf,NoEffect,4,0x0,0x0,0x0
Dragon Axe,0x387,0x437,0x0,0x5a,0x2,IsWeapon,0x0,DragonEffectiveness|IsPointer,30,12,60,11,0,0x11,150,CRank,0x58,0x0,NoEffect,1,0x0,0x0,0x0
Angelic Robe,0x3d4,0x483,0x4c1,0x5b,0x9,0x0,0x88aeedc,0x0,1,0,0,0,0,0x11,8000,NoRank,0x59,0x10,NoEffect,0,0x0,0x0,0x0
Energy Ring,0x3d5,0x484,0x4c2,0x5c,0x9,0x0,0x88aeee8,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5a,0x11,NoEffect,0,0x0,0x0,0x0
Secret Book,0x3d6,0x485,0x4c3,0x5d,0x9,0x0,0x88aeef4,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5b,0x12,NoEffect,0,0x0,0x0,0x0
Speedwings,0x3d7,0x486,0x4c4,0x5e,0x9,0x0,0x88aef00,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5c,0x13,NoEffect,0,0x0,0x0,0x0
Goddess Icon,0x3d8,0x487,0x4c5,0x5f,0x9,0x0,0x88aef0c,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5d,0x14,NoEffect,0,0x0,0x0,0x0
Dragonshield,0x3d9,0x488,0x4c6,0x60,0x9,0x0,0x88aef18,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5e,0x15,NoEffect,0,0x0,0x0,0x0
Talisman,0x3da,0x489,0x4c7,0x61,0x9,0x0,0x88aef24,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5f,0x16,NoEffect,0,0x0,0x0,0x0
Swiftsoles,0x3db,0x48a,0x4c8,0x62,0x9,0x0,0x88aef30,0x0,1,0,0,0,0,0x11,8000,NoRank,0x60,0x17,NoEffect,0,0x0,0x0,0x0
Body Ring,0x3dc,0x48b,0x4c9,0x63,0x9,0x0,0x88aef3c,0x0,1,0,0,0,0,0x11,8000,NoRank,0x61,0x18,NoEffect,0,0x0,0x0,0x0
Hero Crest,0x3dd,0x48c,0x4ca,0x64,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x62,0x19,NoEffect,0,0x0,0x0,0x0
Knight Crest,0x3de,0x48d,0x4cb,0x65,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x63,0x1a,NoEffect,0,0x0,0x0,0x0
Orion's Bolt,0x3df,0x48e,0x4cc,0x66,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x64,0x1b,NoEffect,0,0x0,0x0,0x0
Elysian Whip,0x3e0,0x48f,0x4cd,0x67,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x65,0x1c,NoEffect,0,0x0,0x0,0x0
Guiding Ring,0x3e1,0x490,0x4ce,0x68,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x66,0x1d,NoEffect,0,0x0,0x0,0x0
Chest Key,0x3e2,0x491,0x4cf,0x69,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,300,NoRank,0x67,0x1e,NoEffect,0,0x0,0x0,0x0
Door Key,0x3e3,0x492,0x4d0,0x6a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,0x68,0x1f,NoEffect,0,0x0,0x0,0x0
Lockpick,0x3e4,0x493,0x4d1,0x6b,0x9,0x0,0x0,0x0,15,0,0,0,0,0x11,80,NoRank,0x69,0x20,NoEffect,0,0x0,0x0,0x0
Vulnerary,0x3e5,0x494,0x4d2,0x6c,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,100,NoRank,0x6a,0x21,NoEffect,0,0x0,0x0,0x0
Elixir,0x3e6,0x495,0x4d3,0x6d,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,1000,NoRank,0x6b,0x22,NoEffect,0,0x0,0x0,0x0
Pure Water,0x3e7,0x496,0x4d4,0x6e,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,300,NoRank,0x6c,0x23,NoEffect,0,0x0,0x0,0x0
Antitoxin,0x3e8,0x497,0x4d5,0x6f,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,150,NoRank,0x6d,0x24,NoEffect,0,0x0,0x0,0x0
Torch,0x3e9,0x498,0x4d6,0x70,0x9,0x0,0x0,0x0,5,0,0,0,0,0x11,100,NoRank,0x6e,0x25,NoEffect,0,0x0,0x0,0x0
Filli Shield,0x3ea,0x499,0x4d7,0x71,0x9,Indestructible|NegateFlyingEffectiveness,0x0,0x0,0,0,0,0,0,0x11,10000,NoRank,0xda,0x0,NoEffect,0,0x0,0x0,0x0
Member Card,0x3eb,0x49a,0x4d8,0x72,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,6000,NoRank,0x84,0x0,NoEffect,0,0x0,0x0,0x0
Silver Card,0x3ec,0x49b,0x4d9,0x73,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,4000,NoRank,0x85,0x0,NoEffect,0,0x0,0x0,0x0
White Gem,0x3ef,0x49e,0x0,0x74,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x86,0x0,NoEffect,0,0x0,0x0,0x0
Blue Gem,0x3f0,0x49f,0x0,0x75,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x87,0x0,NoEffect,0,0x0,0x0,0x0
Red Gem,0x3f1,0x4a0,0x0,0x76,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,0x88,0x0,NoEffect,0,0x0,0x0,0x0
Gold,0x3f2,0x4a1,0x4da,0x77,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
Reginleif,0x374,0x424,0x0,0x78,0x1,IsWeapon|Unsellable|EphraimLock,0x0,LordWeaponEffectiveness|IsPointer,45,10,80,8,10,0x11,160,NoRank,0xb3,0x0,NoEffect,2,0x0,0x0,0x0
Chest Key (5),0x3e2,0x491,0x4cf,0x79,0x9,0x0,0x0,0x0,5,0,0,0,0,0x11,300,NoRank,0x67,0x26,NoEffect,0,0x0,0x0,0x0
Mine (DUMMY),0x403,0x4ab,0x0,0x7a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,500,NoRank,0x8c,0x27,NoEffect,0,0x0,0x0,0x0
Light Rune (DUMMY),0x403,0x4ab,0x0,0x7b,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,800,NoRank,0x8d,0x28,NoEffect,0,0x0,0x0,0x0
